"","Andrena_ceanothi","Andrena_miranda","Andrena_nasonii","Anthidiellum_notatum","Augochlora_pura","Bombus_pensylvanicus","Bombus_perplexus","Bombus_terricola","Bombus_vagans","Calliopsis_andreniformis","Hoplitis_truncata","Lasioglossum_imitatum","Lasioglossum_versans","Megachile_brevis","Megachile_inermis","Nomada_sayi"
"749",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"752",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"753",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"754",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"755",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"788",0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
"789",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"790",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"791",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"792",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"793",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"794",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"795",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"796",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"797",0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
"798",0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0
"799",0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0
"800",0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"801",0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0
"802",0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0
"803",0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0
"804",0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"805",0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0
"806",0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"807",0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
"808",0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"809",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"810",0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
"811",0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0
"812",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"813",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"814",0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"815",0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"816",0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0
"817",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"820",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"839",0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
"840",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"841",0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0
"842",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"845",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"848",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
"850",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"851",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
"852",0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0
"853",0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0
"854",0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
"855",0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0
"856",0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0
"857",1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0
"858",1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0
"859",0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0
"860",0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0
"861",0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0
"862",0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1
"863",0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
"864",1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0
"865",0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0
"866",0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0
"867",1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0
"868",0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0
"869",0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"870",0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"891",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"892",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
"893",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"894",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"895",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"896",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"897",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"899",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"900",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"901",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
"902",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"903",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"904",0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
"905",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"906",0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0
"907",0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
"908",0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0
"909",1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0
"910",1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0
"911",1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0
"912",0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"913",0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0
"914",0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0
"915",0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0
"916",0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
"917",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"918",0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0
"919",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"920",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"943",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"944",0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0
"945",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"947",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
